symbol,precision
1INCH,18
AAVE,18
ACA,8
ADA,6
ADX,18
AION,12
AKRO,18
AKT,6
ALCX,18
ALGO,6
ALICE,6
ALPHA,18
ALPINE,8
AMP,18
ANKR,18
ANT,18
APE,18
AR,8
ARK,8
ARPA,18
ASTR,18
ATA,18
ATLAS,8
ATOM,18
AUCTION,18
AUDIO,18
AVAX,9
AXS,18
BADGER,18
BAL,18
BAND,18
BAT,18
BCH,8
BICO,18
BNB,8
BNC,15
BNT,18
BOND,18
BSV,8
BTC,8
BTRST,18
BTT,6
BUSD,6
C98,18
CAKE,18
CEL,18
CELO,18
CELR,18
CHR,6
CHZ,18
CLV,18
COMP,18
COTI,18
CQT,18
CRO,8
CRV,18
CTSI,18
CTX,18
CVC,8
CVX,18
DAI,18
DASH,8
DATA,18
DCR,8
DDX,18
DENT,8
DESO,9
DGB,8
DIA,18
DNT,18
DOGE,8
DOT,10
DYDX,18
EGLD,18
ELF,18
ENJ,18
ENS,18
EOS,4
ERN,18
ETC,18
ETH,18
EURT,6
EWT,18
FET,18
FGP,6
FIDA,6
FIL,8
FIS,18
FLOW,8
FORTH,18
FTM,18
FTT,18
FXS,18
GALA,8
GARI,9
GHST,18
GLM,18
GLMR,8
GMT,8
GNO,18
GOT,18
GRT,18
GST,18
HBAR,8
HNT,6
HOT,18
ICP,18
ICX,10
IMX,18
INJ,18
IOTX,18
JASMY,18
JST,18
KAR,12
KAVA,0
KEEP,18
KILT,15
KIN,5
KINT,15
KLAY,8
KMD,18
KNC,18
KP3R,18
KRL,18
KSM,12
LAZIO,8
LCX,18
LINA,18
LINK,18
LIT,18
LOOM,18
LPT,18
LQTY,18
LRC,18
LSK,8
LTC,8
LTO,8
LUNA,9
LUNC,18
MANA,18
MASK,18
MATIC,18
MC,18
MINA,9
MIOTA,8
MIR,6
MKR,18
MLN,18
MNGO,6
MOVR,18
MSOL,9
MTL,8
MULTI,18
NCT,18
NEAR,18
NEO,8
NEXO,18
NKN,8
NMR,18
NU,18
NULS,8
NYM,6
OCEAN,18
OGN,18
OMG,18
ONG,6
ONT,18
ORCA,6
OXT,18
OXY,6
PAXG,18
PERP,18
PFT,6
PHA,18
PLA,18
POLIS,8
POLY,18
POND,18
PORTO,8
POWR,6
PSTAKE,18
PUNDIX,18
PVP,6
QNT,18
QTUM,18
RAD,18
RARE,18
RARI,18
RAY,6
RBC,18
REEF,18
REN,18
REP,18
REQ,18
RGT,18
RLC,9
RLY,18
RNDR,18
ROSE,18
RSR,18
RUNE,18
RVN,8
SAMO,9
SAND,18
SANTOS,8
SBR,6
SC,24
SCRT,6
SDN,15
SGB,8
SHIB,18
SHPING,18
SKL,18
SLP,8
SNT,18
SNX,18
SOL,18
SPELL,18
SRM,18
STEP,9
STMX,18
STORJ,24
STRAX,8
STX,6
SUKU,18
SUPER,18
SUSHI,18
SXP,18
T,18
TBTC,18
THETA,18
TOKE,18
TOMO,8
TRAC,18
TRB,18
TRIBE,18
TRU,8
TRX,18
UMA,18
UNI,18
USDC,6
USDT,6
UST,6
USTC,18
UTK,18
VET,9
VGX,8
VTC,8
VTHO,18
WAVES,18
WBTC,8
WCFG,18
WIN,18
WLUNA,18
WLUNC,18
WOO,18
WRX,8
WTC,18
XEM,6
XLM,7
XMR,8
XNO,30
XRP,6
XRT,9
XTZ,6
XVG,8
XYO,18
YFI,18
YFII,18
YGG,18
ZEC,8
ZIL,12
ZRX,18
STG,18
RPL,18
TFA,2
SEK,2
EUR,2
USD,2
CAD,2
GBP,2
PLN,3
CUSD,2
BRL,2
SGD,2
ZAR,2
SWISE,18
SSV,18
LDO,18
ETHW,18
BLUR,18
CSI,2
